validation_id,sample_id,faithfulness_score,groundedness_score,relevance_score,citation_accuracy_score,answer_completeness_score,contradiction_score,hallucination_risk_score,validator_decision,validator_feedback,revision_count
VAL-00213,SMP-00213,0.989,0.848,0.799,0.881,0.969,0.214,0.252,accept,Answer is supported by retrieved context.,0
VAL-00214,SMP-00214,0.389,0.539,0.921,0.3,0.944,0.198,0.948,reject,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00215,SMP-00215,0.851,0.793,0.77,0.832,0.95,0.153,0.148,accept,Answer is supported by retrieved context.,0
VAL-00216,SMP-00216,0.867,0.761,0.933,0.892,0.624,0.128,0.054,accept,Answer is supported by retrieved context.,1
VAL-00217,SMP-00217,0.828,0.945,0.705,0.852,0.737,0.245,0.081,accept,Answer is supported by retrieved context.,0
VAL-00218,SMP-00218,0.902,0.875,0.866,0.922,0.697,0.356,0.256,accept,Answer is supported by retrieved context.,0
VAL-00219,SMP-00219,0.767,0.953,0.8,0.971,0.695,0.374,0.235,accept,Answer is supported by retrieved context.,0
VAL-00220,SMP-00220,0.486,0.313,0.968,0.352,0.677,0.333,0.863,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00221,SMP-00221,0.866,0.801,0.982,0.869,0.8,0.051,0.357,accept,Answer is supported by retrieved context.,0
VAL-00222,SMP-00222,0.816,0.861,0.833,0.774,0.875,0.288,0.132,accept,Answer is supported by retrieved context.,0
VAL-00223,SMP-00223,0.67,0.686,0.852,0.472,0.756,0.882,0.795,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00224,SMP-00224,0.985,0.806,0.966,0.778,0.946,0.059,0.273,accept,Answer is supported by retrieved context.,0
VAL-00225,SMP-00225,0.345,0.338,0.983,0.431,0.96,0.19,0.684,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00226,SMP-00226,0.833,0.817,0.973,0.858,0.64,0.161,0.279,accept,Answer is supported by retrieved context.,0
VAL-00227,SMP-00227,0.963,0.758,0.953,0.974,0.832,0.222,0.269,accept,Answer is supported by retrieved context.,0
VAL-00228,SMP-00228,0.961,0.822,0.719,0.851,0.647,0.044,0.116,accept,Answer is supported by retrieved context.,0
VAL-00229,SMP-00229,0.892,0.829,0.924,0.946,0.694,0.077,0.315,accept,Answer is supported by retrieved context.,0
VAL-00230,SMP-00230,0.788,0.929,0.917,0.734,0.734,0.081,0.186,accept,Answer is supported by retrieved context.,0
VAL-00231,SMP-00231,0.8,0.87,0.806,0.742,0.953,0.301,0.295,accept,Answer is supported by retrieved context.,0
VAL-00232,SMP-00232,0.466,0.616,0.934,0.436,0.671,0.254,0.61,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00233,SMP-00233,0.946,0.862,0.799,0.854,0.807,0.033,0.246,accept,Answer is supported by retrieved context.,0
VAL-00234,SMP-00234,0.958,0.797,0.977,0.961,0.773,0.085,0.263,accept,Answer is supported by retrieved context.,0
VAL-00235,SMP-00235,0.48,0.462,0.827,0.536,0.916,0.21,0.799,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00236,SMP-00236,0.331,0.417,0.841,0.283,0.838,0.219,0.959,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00237,SMP-00237,0.94,0.821,0.747,0.896,0.821,0.329,0.236,accept,Answer is supported by retrieved context.,0
VAL-00238,SMP-00238,0.576,0.657,0.799,0.482,0.747,0.059,0.901,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00239,SMP-00239,0.259,0.547,0.931,0.311,0.828,0.046,0.891,reject,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00240,SMP-00240,0.944,0.867,0.87,0.814,0.931,0.369,0.281,revise,Answer is supported by retrieved context.,0
VAL-00241,SMP-00241,0.596,0.462,0.717,0.16,0.754,0.072,0.802,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00242,SMP-00242,0.612,0.672,0.741,0.484,0.966,0.192,0.586,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00243,SMP-00243,0.832,0.752,0.802,0.708,0.814,0.315,0.349,accept,Answer is supported by retrieved context.,1
VAL-00244,SMP-00244,0.659,0.568,0.82,0.286,0.72,0.343,0.836,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00245,SMP-00245,0.405,0.569,0.846,0.371,0.971,0.294,0.868,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00246,SMP-00246,0.768,0.876,0.866,0.706,0.759,0.264,0.3,accept,Answer is supported by retrieved context.,1
VAL-00247,SMP-00247,0.852,0.921,0.756,0.758,0.934,0.254,0.094,accept,Answer is supported by retrieved context.,0
VAL-00248,SMP-00248,0.238,0.249,0.952,0.183,0.739,0.447,0.569,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00249,SMP-00249,0.765,0.863,0.725,0.888,0.753,0.076,0.137,accept,Answer is supported by retrieved context.,0
VAL-00250,SMP-00250,0.904,0.924,0.81,0.705,0.633,0.259,0.149,revise,Answer is supported by retrieved context.,1
VAL-00251,SMP-00251,0.572,0.3,0.976,0.523,0.621,0.303,0.592,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00252,SMP-00252,0.704,0.326,0.8,0.527,0.884,0.722,0.586,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00253,SMP-00253,0.912,0.783,0.813,0.866,0.674,0.135,0.083,accept,Answer is supported by retrieved context.,0
VAL-00254,SMP-00254,0.845,0.802,0.962,0.964,0.848,0.344,0.254,revise,Answer is supported by retrieved context.,1
VAL-00255,SMP-00255,0.522,0.468,0.873,0.562,0.663,0.281,0.818,reject,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00256,SMP-00256,0.503,0.484,0.738,0.592,0.643,0.035,0.582,reject,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00257,SMP-00257,0.924,0.844,0.767,0.719,0.797,0.139,0.088,accept,Answer is supported by retrieved context.,0
VAL-00258,SMP-00258,0.346,0.456,0.797,0.305,0.8,0.774,0.647,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00259,SMP-00259,0.592,0.541,0.704,0.165,0.651,0.097,0.932,revise,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00260,SMP-00260,0.671,0.563,0.818,0.42,0.829,0.593,0.688,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00261,SMP-00261,0.835,0.949,0.938,0.805,0.699,0.14,0.339,accept,Answer is supported by retrieved context.,1
VAL-00262,SMP-00262,0.47,0.376,0.918,0.278,0.897,0.166,0.749,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00263,SMP-00263,0.968,0.813,0.732,0.746,0.676,0.32,0.119,accept,Answer is supported by retrieved context.,0
VAL-00264,SMP-00264,0.961,0.77,0.829,0.745,0.979,0.148,0.214,accept,Answer is supported by retrieved context.,0
VAL-00265,SMP-00265,0.503,0.324,0.765,0.527,0.714,0.032,0.896,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00266,SMP-00266,0.561,0.5,0.901,0.543,0.971,0.677,0.615,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00267,SMP-00267,0.871,0.808,0.876,0.859,0.711,0.368,0.203,accept,Answer is supported by retrieved context.,1
VAL-00268,SMP-00268,0.33,0.502,0.769,0.526,0.628,0.226,0.931,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00269,SMP-00269,0.292,0.239,0.817,0.568,0.698,0.141,0.833,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00270,SMP-00270,0.864,0.813,0.766,0.94,0.732,0.203,0.115,revise,Answer is supported by retrieved context.,0
VAL-00271,SMP-00271,0.404,0.592,0.907,0.381,0.678,0.234,0.742,reject,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00272,SMP-00272,0.67,0.652,0.808,0.276,0.694,0.058,0.72,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,1
VAL-00273,SMP-00273,0.686,0.389,0.777,0.48,0.671,0.876,0.736,reject,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00274,SMP-00274,0.917,0.919,0.96,0.846,0.701,0.018,0.115,accept,Answer is supported by retrieved context.,1
VAL-00275,SMP-00275,0.814,0.96,0.818,0.838,0.926,0.116,0.346,accept,Answer is supported by retrieved context.,0
VAL-00276,SMP-00276,0.636,0.342,0.887,0.182,0.872,0.45,0.802,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00277,SMP-00277,0.911,0.831,0.944,0.809,0.909,0.154,0.137,accept,Answer is supported by retrieved context.,1
VAL-00278,SMP-00278,0.911,0.924,0.988,0.841,0.84,0.237,0.2,revise,Answer is supported by retrieved context.,1
VAL-00279,SMP-00279,0.979,0.939,0.715,0.879,0.976,0.089,0.124,accept,Answer is supported by retrieved context.,0
VAL-00280,SMP-00280,0.939,0.856,0.724,0.734,0.904,0.141,0.247,accept,Answer is supported by retrieved context.,1
VAL-00281,SMP-00281,0.975,0.902,0.95,0.816,0.651,0.322,0.305,revise,Answer is supported by retrieved context.,0
VAL-00282,SMP-00282,0.984,0.932,0.869,0.789,0.648,0.028,0.062,accept,Answer is supported by retrieved context.,0
VAL-00283,SMP-00283,0.923,0.782,0.987,0.968,0.622,0.204,0.314,accept,Answer is supported by retrieved context.,0
VAL-00284,SMP-00284,0.221,0.305,0.799,0.205,0.781,0.064,0.838,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00285,SMP-00285,0.968,0.744,0.975,0.766,0.803,0.356,0.185,accept,Answer is supported by retrieved context.,0
VAL-00286,SMP-00286,0.981,0.881,0.958,0.8,0.737,0.327,0.149,accept,Answer is supported by retrieved context.,0
VAL-00287,SMP-00287,0.6,0.222,0.902,0.494,0.622,0.838,0.776,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00288,SMP-00288,0.407,0.467,0.922,0.492,0.696,0.067,0.917,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,1
VAL-00289,SMP-00289,0.479,0.47,0.847,0.266,0.838,0.337,0.611,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00290,SMP-00290,0.58,0.694,0.846,0.306,0.724,0.118,0.829,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00291,SMP-00291,0.854,0.954,0.705,0.856,0.845,0.245,0.23,accept,Answer is supported by retrieved context.,0
VAL-00292,SMP-00292,0.7,0.326,0.974,0.381,0.847,0.068,0.576,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00293,SMP-00293,0.95,0.789,0.735,0.847,0.882,0.308,0.22,revise,Answer is supported by retrieved context.,0
VAL-00294,SMP-00294,0.519,0.662,0.904,0.272,0.715,0.115,0.711,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00295,SMP-00295,0.69,0.221,0.769,0.333,0.957,0.169,0.569,reject,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00296,SMP-00296,0.61,0.371,0.914,0.269,0.81,0.161,0.905,reject,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00297,SMP-00297,0.271,0.211,0.983,0.4,0.69,0.075,0.684,revise,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00298,SMP-00298,0.89,0.849,0.818,0.708,0.895,0.211,0.294,accept,Answer is supported by retrieved context.,0
VAL-00299,SMP-00299,0.637,0.582,0.936,0.402,0.741,0.369,0.59,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00300,SMP-00300,0.95,0.971,0.97,0.958,0.644,0.298,0.354,accept,Answer is supported by retrieved context.,0
VAL-00301,SMP-00301,0.509,0.224,0.937,0.582,0.775,0.115,0.678,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00302,SMP-00302,0.838,0.883,0.904,0.826,0.816,0.246,0.271,accept,Answer is supported by retrieved context.,1
VAL-00303,SMP-00303,0.934,0.979,0.768,0.856,0.844,0.21,0.202,accept,Answer is supported by retrieved context.,0
VAL-00304,SMP-00304,0.939,0.981,0.844,0.718,0.812,0.152,0.233,revise,Answer is supported by retrieved context.,0
VAL-00305,SMP-00305,0.318,0.377,0.884,0.558,0.668,0.207,0.678,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00306,SMP-00306,0.9,0.929,0.702,0.916,0.73,0.241,0.118,accept,Answer is supported by retrieved context.,0
VAL-00307,SMP-00307,0.848,0.872,0.863,0.979,0.838,0.319,0.257,accept,Answer is supported by retrieved context.,1
VAL-00308,SMP-00308,0.969,0.982,0.739,0.927,0.926,0.337,0.166,accept,Answer is supported by retrieved context.,0
VAL-00309,SMP-00309,0.879,0.925,0.978,0.747,0.809,0.308,0.145,accept,Answer is supported by retrieved context.,0
VAL-00310,SMP-00310,0.958,0.976,0.925,0.791,0.861,0.178,0.23,accept,Answer is supported by retrieved context.,0
VAL-00311,SMP-00311,0.888,0.817,0.914,0.817,0.938,0.091,0.186,accept,Answer is supported by retrieved context.,1
VAL-00312,SMP-00312,0.523,0.67,0.865,0.592,0.746,0.088,0.767,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00313,SMP-00313,0.897,0.763,0.744,0.971,0.675,0.087,0.069,accept,Answer is supported by retrieved context.,0
VAL-00314,SMP-00314,0.29,0.369,0.744,0.154,0.723,0.058,0.826,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00315,SMP-00315,0.902,0.851,0.871,0.902,0.768,0.058,0.049,accept,Answer is supported by retrieved context.,0
VAL-00316,SMP-00316,0.943,0.869,0.93,0.711,0.819,0.047,0.029,revise,Answer is supported by retrieved context.,1
VAL-00317,SMP-00317,0.802,0.873,0.825,0.848,0.711,0.021,0.141,accept,Answer is supported by retrieved context.,0
VAL-00318,SMP-00318,0.599,0.629,0.772,0.466,0.979,0.034,0.668,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00319,SMP-00319,0.949,0.806,0.74,0.947,0.697,0.029,0.308,revise,Answer is supported by retrieved context.,1
VAL-00320,SMP-00320,0.788,0.977,0.768,0.947,0.974,0.37,0.197,accept,Answer is supported by retrieved context.,0
VAL-00321,SMP-00321,0.276,0.414,0.841,0.397,0.863,0.309,0.781,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00322,SMP-00322,0.769,0.849,0.986,0.976,0.81,0.233,0.154,accept,Answer is supported by retrieved context.,0
VAL-00323,SMP-00323,0.657,0.549,0.945,0.287,0.789,0.284,0.875,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00324,SMP-00324,0.771,0.771,0.945,0.738,0.901,0.378,0.224,accept,Answer is supported by retrieved context.,0
VAL-00325,SMP-00325,0.942,0.806,0.823,0.704,0.751,0.29,0.289,accept,Answer is supported by retrieved context.,0
VAL-00326,SMP-00326,0.936,0.893,0.906,0.809,0.656,0.148,0.055,accept,Answer is supported by retrieved context.,0
VAL-00327,SMP-00327,0.393,0.494,0.861,0.343,0.971,0.245,0.861,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00328,SMP-00328,0.235,0.634,0.721,0.428,0.791,0.274,0.712,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00329,SMP-00329,0.962,0.912,0.927,0.833,0.659,0.247,0.231,accept,Answer is supported by retrieved context.,0
VAL-00330,SMP-00330,0.301,0.318,0.986,0.434,0.857,0.195,0.601,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00331,SMP-00331,0.613,0.338,0.74,0.542,0.733,0.613,0.867,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00332,SMP-00332,0.455,0.461,0.825,0.158,0.817,0.553,0.869,reject,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00333,SMP-00333,0.497,0.203,0.74,0.622,0.646,0.181,0.919,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,2
VAL-00334,SMP-00334,0.404,0.615,0.718,0.505,0.764,0.352,0.567,reject,Validator detected factual error; answer needs evidence-grounded revision.,2
VAL-00335,SMP-00335,0.954,0.961,0.754,0.731,0.649,0.336,0.298,accept,Answer is supported by retrieved context.,0
VAL-00336,SMP-00336,0.709,0.301,0.923,0.305,0.898,0.023,0.775,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00337,SMP-00337,0.862,0.851,0.88,0.777,0.747,0.145,0.037,accept,Answer is supported by retrieved context.,1
VAL-00338,SMP-00338,0.612,0.65,0.949,0.329,0.893,0.269,0.945,revise,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00339,SMP-00339,0.37,0.507,0.955,0.197,0.842,0.074,0.649,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00340,SMP-00340,0.935,0.952,0.801,0.794,0.624,0.192,0.023,accept,Answer is supported by retrieved context.,1
VAL-00341,SMP-00341,0.668,0.367,0.954,0.638,0.823,0.811,0.925,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00342,SMP-00342,0.969,0.936,0.899,0.846,0.824,0.17,0.329,accept,Answer is supported by retrieved context.,0
VAL-00343,SMP-00343,0.801,0.793,0.984,0.782,0.669,0.36,0.063,revise,Answer is supported by retrieved context.,0
VAL-00344,SMP-00344,0.805,0.911,0.767,0.931,0.918,0.179,0.137,accept,Answer is supported by retrieved context.,0
VAL-00345,SMP-00345,0.85,0.979,0.814,0.946,0.675,0.221,0.034,accept,Answer is supported by retrieved context.,1
VAL-00346,SMP-00346,0.956,0.899,0.986,0.967,0.962,0.239,0.201,accept,Answer is supported by retrieved context.,1
VAL-00347,SMP-00347,0.924,0.92,0.966,0.977,0.741,0.084,0.265,revise,Answer is supported by retrieved context.,0
VAL-00348,SMP-00348,0.579,0.694,0.783,0.283,0.979,0.363,0.714,reject,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00349,SMP-00349,0.628,0.213,0.938,0.415,0.7,0.175,0.879,reject,Validator detected factual error; answer needs evidence-grounded revision.,2
VAL-00350,SMP-00350,0.92,0.864,0.81,0.746,0.745,0.272,0.032,accept,Answer is supported by retrieved context.,1
VAL-00351,SMP-00351,0.77,0.787,0.847,0.87,0.677,0.326,0.288,accept,Answer is supported by retrieved context.,1
VAL-00352,SMP-00352,0.628,0.695,0.803,0.466,0.641,0.078,0.634,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00353,SMP-00353,0.944,0.974,0.909,0.885,0.646,0.22,0.145,accept,Answer is supported by retrieved context.,0
VAL-00354,SMP-00354,0.89,0.871,0.84,0.76,0.649,0.233,0.076,accept,Answer is supported by retrieved context.,0
VAL-00355,SMP-00355,0.452,0.353,0.786,0.422,0.781,0.177,0.865,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00356,SMP-00356,0.505,0.368,0.826,0.347,0.727,0.572,0.929,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00357,SMP-00357,0.87,0.751,0.756,0.792,0.847,0.3,0.326,accept,Answer is supported by retrieved context.,0
VAL-00358,SMP-00358,0.843,0.815,0.725,0.773,0.7,0.211,0.131,accept,Answer is supported by retrieved context.,0
VAL-00359,SMP-00359,0.826,0.856,0.792,0.753,0.676,0.209,0.033,accept,Answer is supported by retrieved context.,0
VAL-00360,SMP-00360,0.9,0.827,0.75,0.928,0.851,0.088,0.105,accept,Answer is supported by retrieved context.,0
VAL-00361,SMP-00361,0.683,0.225,0.967,0.33,0.675,0.752,0.777,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00362,SMP-00362,0.974,0.89,0.773,0.799,0.748,0.231,0.22,accept,Answer is supported by retrieved context.,0
VAL-00363,SMP-00363,0.23,0.283,0.847,0.58,0.746,0.236,0.806,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00364,SMP-00364,0.921,0.841,0.745,0.822,0.767,0.316,0.178,accept,Answer is supported by retrieved context.,0
VAL-00365,SMP-00365,0.875,0.84,0.854,0.95,0.714,0.209,0.055,accept,Answer is supported by retrieved context.,1
VAL-00366,SMP-00366,0.901,0.873,0.972,0.923,0.95,0.22,0.058,accept,Answer is supported by retrieved context.,0
VAL-00367,SMP-00367,0.398,0.545,0.891,0.612,0.823,0.718,0.897,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00368,SMP-00368,0.806,0.796,0.847,0.87,0.969,0.139,0.054,accept,Answer is supported by retrieved context.,0
VAL-00369,SMP-00369,0.949,0.778,0.816,0.809,0.758,0.073,0.145,revise,Answer is supported by retrieved context.,0
VAL-00370,SMP-00370,0.258,0.455,0.733,0.551,0.786,0.55,0.881,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00371,SMP-00371,0.884,0.879,0.788,0.945,0.913,0.214,0.294,accept,Answer is supported by retrieved context.,1
VAL-00372,SMP-00372,0.595,0.414,0.966,0.594,0.729,0.369,0.609,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00373,SMP-00373,0.95,0.798,0.981,0.763,0.723,0.28,0.022,accept,Answer is supported by retrieved context.,0
VAL-00374,SMP-00374,0.845,0.761,0.947,0.719,0.637,0.124,0.134,accept,Answer is supported by retrieved context.,0
VAL-00375,SMP-00375,0.876,0.962,0.75,0.927,0.816,0.083,0.209,accept,Answer is supported by retrieved context.,0
VAL-00376,SMP-00376,0.859,0.983,0.929,0.796,0.868,0.052,0.227,accept,Answer is supported by retrieved context.,0
VAL-00377,SMP-00377,0.257,0.269,0.949,0.414,0.944,0.181,0.635,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00378,SMP-00378,0.632,0.387,0.856,0.464,0.627,0.277,0.823,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00379,SMP-00379,0.861,0.794,0.771,0.798,0.747,0.305,0.265,accept,Answer is supported by retrieved context.,0
VAL-00380,SMP-00380,0.946,0.804,0.959,0.929,0.844,0.268,0.252,accept,Answer is supported by retrieved context.,0
VAL-00381,SMP-00381,0.934,0.969,0.701,0.941,0.683,0.197,0.233,accept,Answer is supported by retrieved context.,0
VAL-00382,SMP-00382,0.935,0.852,0.875,0.932,0.844,0.052,0.052,accept,Answer is supported by retrieved context.,0
VAL-00383,SMP-00383,0.292,0.575,0.913,0.422,0.791,0.285,0.746,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00384,SMP-00384,0.832,0.755,0.863,0.839,0.624,0.305,0.066,revise,Answer is supported by retrieved context.,0
VAL-00385,SMP-00385,0.851,0.776,0.724,0.751,0.964,0.348,0.33,accept,Answer is supported by retrieved context.,0
VAL-00386,SMP-00386,0.922,0.923,0.861,0.925,0.905,0.346,0.321,accept,Answer is supported by retrieved context.,1
VAL-00387,SMP-00387,0.979,0.866,0.792,0.733,0.775,0.065,0.215,accept,Answer is supported by retrieved context.,0
VAL-00388,SMP-00388,0.931,0.885,0.915,0.849,0.842,0.154,0.283,accept,Answer is supported by retrieved context.,0
VAL-00389,SMP-00389,0.322,0.581,0.809,0.289,0.827,0.231,0.724,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00390,SMP-00390,0.78,0.895,0.903,0.978,0.659,0.053,0.21,accept,Answer is supported by retrieved context.,1
VAL-00391,SMP-00391,0.812,0.944,0.79,0.95,0.881,0.369,0.331,accept,Answer is supported by retrieved context.,0
VAL-00392,SMP-00392,0.698,0.511,0.828,0.371,0.928,0.11,0.959,reject,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00393,SMP-00393,0.282,0.535,0.723,0.456,0.673,0.102,0.87,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00394,SMP-00394,0.321,0.231,0.94,0.499,0.844,0.874,0.602,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00395,SMP-00395,0.499,0.538,0.74,0.569,0.788,0.291,0.769,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00396,SMP-00396,0.287,0.638,0.813,0.632,0.634,0.378,0.625,reject,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00397,SMP-00397,0.885,0.813,0.731,0.718,0.773,0.309,0.028,accept,Answer is supported by retrieved context.,0
VAL-00398,SMP-00398,0.258,0.425,0.872,0.396,0.895,0.194,0.883,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00399,SMP-00399,0.953,0.866,0.714,0.791,0.823,0.133,0.176,accept,Answer is supported by retrieved context.,1
VAL-00400,SMP-00400,0.896,0.798,0.768,0.716,0.622,0.302,0.134,accept,Answer is supported by retrieved context.,0
VAL-00401,SMP-00401,0.908,0.861,0.808,0.73,0.939,0.168,0.046,accept,Answer is supported by retrieved context.,0
VAL-00402,SMP-00402,0.6,0.661,0.829,0.553,0.9,0.339,0.592,reject,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00403,SMP-00403,0.892,0.946,0.924,0.762,0.914,0.032,0.242,accept,Answer is supported by retrieved context.,1
VAL-00404,SMP-00404,0.892,0.749,0.756,0.763,0.694,0.012,0.326,accept,Answer is supported by retrieved context.,0
VAL-00405,SMP-00405,0.301,0.49,0.791,0.372,0.935,0.232,0.693,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00406,SMP-00406,0.334,0.202,0.962,0.447,0.734,0.061,0.824,reject,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00407,SMP-00407,0.848,0.884,0.871,0.969,0.975,0.169,0.319,accept,Answer is supported by retrieved context.,0
VAL-00408,SMP-00408,0.762,0.767,0.884,0.751,0.68,0.337,0.268,accept,Answer is supported by retrieved context.,0
VAL-00409,SMP-00409,0.507,0.323,0.746,0.532,0.921,0.045,0.775,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00410,SMP-00410,0.37,0.669,0.937,0.508,0.662,0.287,0.716,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00411,SMP-00411,0.506,0.424,0.785,0.53,0.813,0.286,0.564,revise,Validator detected factual error; answer needs evidence-grounded revision.,2
VAL-00412,SMP-00412,0.927,0.761,0.802,0.911,0.77,0.342,0.307,revise,Answer is supported by retrieved context.,1
VAL-00413,SMP-00413,0.871,0.85,0.93,0.759,0.946,0.213,0.298,accept,Answer is supported by retrieved context.,0
VAL-00414,SMP-00414,0.951,0.914,0.922,0.716,0.895,0.212,0.24,accept,Answer is supported by retrieved context.,1
VAL-00415,SMP-00415,0.337,0.642,0.899,0.487,0.85,0.76,0.655,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00416,SMP-00416,0.599,0.661,0.924,0.201,0.952,0.742,0.82,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00417,SMP-00417,0.78,0.845,0.909,0.701,0.938,0.152,0.339,accept,Answer is supported by retrieved context.,0
VAL-00418,SMP-00418,0.796,0.796,0.777,0.802,0.782,0.314,0.023,accept,Answer is supported by retrieved context.,0
VAL-00419,SMP-00419,0.813,0.75,0.981,0.813,0.767,0.227,0.178,accept,Answer is supported by retrieved context.,0
VAL-00420,SMP-00420,0.846,0.935,0.75,0.703,0.808,0.331,0.061,accept,Answer is supported by retrieved context.,0
VAL-00421,SMP-00421,0.636,0.392,0.739,0.23,0.947,0.571,0.874,reject,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00422,SMP-00422,0.375,0.598,0.792,0.304,0.967,0.253,0.663,reject,Validator detected outdated information; answer needs evidence-grounded revision.,2
