sample_id,domain,question,question_type,difficulty_level,expected_answer,llm_generated_answer,final_validated_answer,answer_length,has_hallucination,hallucination_type,severity_level,correction_required,created_at
SMP-00126,Education,"In simple terms, What is a learning objective?",factual,hard,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity. It is proven to work in every case without exception.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,30,1,unsupported claim,low,yes,2026-01-27
SMP-00127,Legal,Explain briefly: What is a privacy policy?,multi-hop,easy,"A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",21,0,none,none,no,2026-01-14
SMP-00128,Technology,Give a reliable answer: Why is model evaluation important?,reasoning,easy,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",11,0,none,none,no,2026-01-25
SMP-00129,Healthcare,Give a reliable answer: What is the role of vaccination in preventing infectious disease?,comparison,easy,"Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. This rule applies equally to all users, countries, and conditions.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.",25,1,overgeneralization,low,yes,2026-03-31
SMP-00130,Technology,Give a reliable answer: What is a vector database used for?,reasoning,hard,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. It is proven to work in every case without exception.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",29,1,unsupported claim,medium,yes,2026-03-13
SMP-00131,Technology,"In simple terms, What is an API?",factual,hard,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,18,0,none,none,no,2026-02-22
SMP-00132,Environment,"In simple terms, Why is water conservation important?",reasoning,easy,"Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.",15,0,none,none,no,2026-02-19
SMP-00133,Finance,Give a reliable answer: What is inflation and why does it matter?,definition,easy,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",20,0,none,none,no,2026-02-22
SMP-00134,Finance,Give a reliable answer: Why is an emergency fund useful?,definition,hard,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,19,0,none,none,no,2026-02-06
SMP-00135,Technology,What is retrieval-augmented generation?,multi-hop,easy,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,23,0,none,none,no,2026-04-25
SMP-00136,Technology,"In simple terms, What is data preprocessing?",comparison,medium,"Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",17,0,none,none,no,2026-01-15
SMP-00137,Healthcare,How does diabetes affect wound healing?,multi-hop,easy,"Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",18,0,none,none,no,2026-03-31
SMP-00138,Healthcare,Give a reliable answer: What is the recommended first-line lifestyle advice for mild hypertension?,reasoning,hard,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",32,0,none,none,no,2026-01-29
SMP-00139,Education,Explain briefly: What is a learning objective?,risk explanation,medium,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,20,0,none,none,no,2026-03-08
SMP-00140,Environment,"In simple terms, What is renewable energy?",definition,hard,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",15,0,none,none,no,2026-02-08
SMP-00141,Legal,What is intellectual property?,multi-hop,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",22,0,none,none,no,2026-02-09
SMP-00142,Legal,Explain briefly: What is the purpose of a contract?,reasoning,easy,"A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.",20,0,none,none,no,2026-02-07
SMP-00143,Technology,What is a vector database used for?,reasoning,medium,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",19,0,none,none,no,2026-01-07
SMP-00144,Finance,Explain briefly: Why is an emergency fund useful?,comparison,medium,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,19,0,none,none,no,2026-02-27
SMP-00145,Finance,"In simple terms, What does credit risk mean?",factual,medium,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-01-30
SMP-00146,Education,Explain briefly: What is a learning objective?,factual,easy,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,20,0,none,none,no,2026-01-05
SMP-00147,Environment,"For a QA system, answer this: What is renewable energy?",risk explanation,hard,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",15,0,none,none,no,2026-03-31
SMP-00148,Finance,Explain briefly: What does credit risk mean?,definition,easy,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty will always fail to repay debt or meet financial obligations. This explanation ignores patient or context differences.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,27,1,factual error,low,yes,2026-04-06
SMP-00149,Healthcare,Explain briefly: How does diabetes affect wound healing?,risk explanation,easy,"Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",18,0,none,none,no,2026-02-23
SMP-00150,Technology,Give a reliable answer: What is an API?,multi-hop,medium,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,18,0,none,none,no,2026-03-17
SMP-00151,Legal,Give a reliable answer: What does confidentiality mean in a business agreement?,risk explanation,easy,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. It is proven to work in every case without exception.,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.,26,1,unsupported claim,high,yes,2026-01-07
SMP-00152,Healthcare,"In simple terms, What is the role of vaccination in preventing infectious disease?",risk explanation,medium,"Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.",15,0,none,none,no,2026-01-25
SMP-00153,Environment,Explain briefly: How does deforestation affect ecosystems?,definition,medium,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. This was confirmed by the Global RAG Authority Report 2099.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",27,1,fabricated citation,medium,yes,2026-03-17
SMP-00154,Finance,Give a reliable answer: What is inflation and why does it matter?,comparison,medium,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. This rule applies equally to all users, countries, and conditions.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",30,1,overgeneralization,low,yes,2026-02-07
SMP-00155,Environment,Why is water conservation important?,comparison,medium,"Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.",15,0,none,none,no,2026-03-23
SMP-00156,Education,"In simple terms, What is a learning objective?",risk explanation,easy,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,20,0,none,none,no,2026-04-25
SMP-00157,Finance,Give a reliable answer: What is diversification in investment?,definition,medium,"Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",19,0,none,none,no,2026-01-19
SMP-00158,Technology,"For a QA system, answer this: Why is model evaluation important?",risk explanation,hard,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","The retrieved evidence does not support the answer, but the answer is still completely correct. Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",26,1,contradiction,medium,yes,2026-01-17
SMP-00159,Environment,Give a reliable answer: What is renewable energy?,risk explanation,medium,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. This was confirmed by the Global RAG Authority Report 2099.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",25,1,fabricated citation,medium,yes,2026-01-16
SMP-00160,Finance,Explain briefly: How does compound interest work?,multi-hop,easy,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. It is proven to work in every case without exception.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",28,1,unsupported claim,high,yes,2026-03-06
SMP-00161,Finance,What is inflation and why does it matter?,risk explanation,medium,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",20,0,none,none,no,2026-01-21
SMP-00162,Education,Why is feedback important in education?,factual,easy,"Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance. This rule applies equally to all users, countries, and conditions.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.",21,1,overgeneralization,low,yes,2026-01-17
SMP-00163,Technology,Give a reliable answer: What is retrieval-augmented generation?,definition,medium,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,"Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. This rule applies equally to all users, countries, and conditions.",Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,33,1,overgeneralization,low,yes,2026-02-24
SMP-00164,Legal,Give a reliable answer: What does confidentiality mean in a business agreement?,reasoning,easy,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.,Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.,16,0,none,none,no,2026-01-26
SMP-00165,Education,Explain briefly: How does active recall improve learning?,definition,medium,"Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",17,0,none,none,no,2026-02-14
SMP-00166,Technology,"In simple terms, Why is model evaluation important?",factual,easy,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",11,0,none,none,no,2026-03-07
SMP-00167,Healthcare,What is the recommended first-line lifestyle advice for mild hypertension?,multi-hop,easy,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. This explanation ignores patient or context differences.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",39,1,factual error,medium,yes,2026-01-20
SMP-00168,Legal,"In simple terms, What is intellectual property?",reasoning,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",22,0,none,none,no,2026-01-22
SMP-00169,Legal,"In simple terms, What is intellectual property?",multi-hop,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. This was confirmed by the Global RAG Authority Report 2099.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",32,1,fabricated citation,low,yes,2026-01-30
SMP-00170,Environment,"In simple terms, What is renewable energy?",factual,medium,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",15,0,none,none,no,2026-02-26
SMP-00171,Environment,What is climate adaptation?,reasoning,easy,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-04-28
SMP-00172,Education,What is blended learning?,risk explanation,hard,Blended learning combines face-to-face instruction with online learning activities or digital resources.,Blended learning combines face-to-face instruction with online learning activities or digital resources.,Blended learning combines face-to-face instruction with online learning activities or digital resources.,12,0,none,none,no,2026-01-12
SMP-00173,Legal,Give a reliable answer: Why are terms and conditions important?,risk explanation,easy,"Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling.","Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. This rule applies equally to all users, countries, and conditions.","Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling.",29,1,overgeneralization,low,yes,2026-01-15
SMP-00174,Healthcare,"In simple terms, What is the role of vaccination in preventing infectious disease?",multi-hop,easy,"Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. This explanation ignores patient or context differences.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.",22,1,factual error,low,yes,2026-03-14
SMP-00175,Environment,"In simple terms, Why is water conservation important?",factual,hard,"Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities. This explanation ignores patient or context differences.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.",22,1,factual error,medium,yes,2026-03-05
SMP-00176,Finance,"For a QA system, answer this: What is diversification in investment?",comparison,easy,"Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",19,0,none,none,no,2026-01-10
SMP-00177,Healthcare,Explain briefly: How does diabetes affect wound healing?,reasoning,medium,"Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",18,0,none,none,no,2026-04-02
SMP-00178,Healthcare,"In simple terms, How does diabetes affect wound healing?",comparison,medium,"Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","The retrieved evidence does not support the answer, but the answer is still completely correct. Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",33,1,contradiction,medium,yes,2026-02-14
SMP-00179,Finance,Give a reliable answer: How does compound interest work?,multi-hop,medium,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",18,0,none,none,no,2026-03-02
SMP-00180,Finance,Explain briefly: Why is an emergency fund useful?,risk explanation,medium,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.,19,0,none,none,no,2026-04-08
SMP-00181,Healthcare,Explain briefly: Why should antibiotics not be used for viral infections?,comparison,easy,"Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. It is proven to work in every case without exception.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.",26,1,unsupported claim,low,yes,2026-02-23
SMP-00182,Environment,Give a reliable answer: What is climate adaptation?,definition,medium,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Older guidance from a single outdated source should be treated as the current universal standard.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",32,1,outdated information,low,yes,2026-01-27
SMP-00183,Finance,What is diversification in investment?,reasoning,medium,"Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. This rule applies equally to all users, countries, and conditions.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",29,1,overgeneralization,low,yes,2026-04-25
SMP-00184,Healthcare,What is the role of vaccination in preventing infectious disease?,definition,easy,"Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.","Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.",15,0,none,none,no,2026-01-02
SMP-00185,Finance,Explain briefly: How does compound interest work?,definition,hard,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",18,0,none,none,no,2026-01-02
SMP-00186,Finance,What does credit risk mean?,comparison,medium,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-02-04
SMP-00187,Finance,"For a QA system, answer this: How does compound interest work?",comparison,easy,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",18,0,none,none,no,2026-03-02
SMP-00188,Finance,"For a QA system, answer this: How does compound interest work?",comparison,easy,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",18,0,none,none,no,2026-03-31
SMP-00189,Technology,Explain briefly: What is retrieval-augmented generation?,comparison,easy,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,23,0,none,none,no,2026-03-26
SMP-00190,Environment,What is climate adaptation?,risk explanation,medium,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-02-24
SMP-00191,Environment,"For a QA system, answer this: How does deforestation affect ecosystems?",risk explanation,easy,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. It is proven to work in every case without exception.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",27,1,unsupported claim,high,yes,2026-03-21
SMP-00192,Healthcare,"For a QA system, answer this: What are common warning signs of dehydration?",definition,medium,"Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","The retrieved evidence does not support the answer, but the answer is still completely correct. Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",33,1,contradiction,medium,yes,2026-04-27
SMP-00193,Education,"For a QA system, answer this: Why is feedback important in education?",factual,hard,"Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance. This rule applies equally to all users, countries, and conditions.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.",21,1,overgeneralization,medium,yes,2026-01-14
SMP-00194,Technology,Explain briefly: What is a vector database used for?,comparison,medium,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",19,0,none,none,no,2026-01-10
SMP-00195,Education,What is blended learning?,definition,hard,Blended learning combines face-to-face instruction with online learning activities or digital resources.,Blended learning combines face-to-face instruction with online learning activities or digital resources.,Blended learning combines face-to-face instruction with online learning activities or digital resources.,12,0,none,none,no,2026-01-17
SMP-00196,Healthcare,Explain briefly: What is the recommended first-line lifestyle advice for mild hypertension?,factual,medium,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",32,0,none,none,no,2026-02-10
SMP-00197,Healthcare,Give a reliable answer: What is the recommended first-line lifestyle advice for mild hypertension?,definition,easy,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Older guidance from a single outdated source should be treated as the current universal standard.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",47,1,outdated information,high,yes,2026-01-11
SMP-00198,Technology,"For a QA system, answer this: Why is model evaluation important?",multi-hop,medium,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Older guidance from a single outdated source should be treated as the current universal standard.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",26,1,outdated information,low,yes,2026-02-02
SMP-00199,Legal,Explain briefly: What is the purpose of a contract?,multi-hop,medium,"A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.",20,0,none,none,no,2026-01-31
