evidence_id,sample_id,retrieved_doc_id,retrieved_text_chunk,chunk_rank,similarity_score,source_type,source_reliability,evidence_relevance,supports_answer,contradicts_answer
EVD-00070-2,SMP-00070,DOC-0027,"Healthcare Reference Note 027: What is the role of vaccination in preventing infectio. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",2,0.766,domain reference summary,high,partially relevant,no,no
EVD-00070-3,SMP-00070,DOC-0118,"Healthcare Reference Note 118: What are common warning signs of dehydration. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",3,0.76,synthetic policy brief,medium,relevant,yes,no
EVD-00071-1,SMP-00071,DOC-0079,"Legal Reference Note 079: What is a privacy policy. Evidence summary: A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met. Validation note: answer claims should remain limited to what this chunk supports.",1,0.662,open educational note,medium,relevant,yes,no
EVD-00071-2,SMP-00071,DOC-0053,"Legal Reference Note 053: Why are terms and conditions important. Evidence summary: A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met. Validation note: answer claims should remain limited to what this chunk supports.",2,0.748,open educational note,high,relevant,yes,no
EVD-00071-3,SMP-00071,DOC-0052,"Legal Reference Note 052: What does confidentiality mean in a business agreement. Evidence summary: A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met. Validation note: answer claims should remain limited to what this chunk supports.",3,0.379,public-domain style explainer,medium,relevant,yes,no
EVD-00072-1,SMP-00072,DOC-0093,"Technology Reference Note 093: Why is model evaluation important. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",1,0.81,curated knowledge card,medium,relevant,yes,no
EVD-00072-2,SMP-00072,DOC-0021,"Technology Reference Note 021: What is an API. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",2,0.542,public-domain style explainer,medium,relevant,yes,no
EVD-00072-3,SMP-00072,DOC-0054,"Technology Reference Note 054: What is retrieval-augmented generation. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",3,0.558,public-domain style explainer,medium,partially relevant,no,no
EVD-00073-1,SMP-00073,DOC-0110,"Legal Reference Note 110: What does confidentiality mean in a business agreement. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",1,0.953,public-domain style explainer,high,relevant,yes,no
EVD-00073-2,SMP-00073,DOC-0066,"Legal Reference Note 066: What does confidentiality mean in a business agreement. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",2,0.814,domain reference summary,medium,partially relevant,yes,yes
EVD-00073-3,SMP-00073,DOC-0053,"Legal Reference Note 053: Why are terms and conditions important. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",3,0.736,public-domain style explainer,medium,partially relevant,no,no
EVD-00074-1,SMP-00074,DOC-0119,"Healthcare Reference Note 119: Why should antibiotics not be used for viral infection. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",1,0.621,synthetic policy brief,high,relevant,yes,no
EVD-00074-2,SMP-00074,DOC-0043,"Healthcare Reference Note 043: What is the recommended first-line lifestyle advice fo. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",2,0.884,public-domain style explainer,medium,partially relevant,no,no
EVD-00074-3,SMP-00074,DOC-0039,"Healthcare Reference Note 039: What is the recommended first-line lifestyle advice fo. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",3,0.79,synthetic policy brief,medium,partially relevant,no,no
EVD-00075-1,SMP-00075,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.6,public-domain style explainer,medium,relevant,yes,no
EVD-00075-2,SMP-00075,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.879,domain reference summary,high,relevant,yes,no
EVD-00075-3,SMP-00075,DOC-0105,"Environment Reference Note 105: How does deforestation affect ecosystems. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",3,0.511,public-domain style explainer,high,irrelevant,no,no
EVD-00076-1,SMP-00076,DOC-0068,"Education Reference Note 068: What is formative assessment. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",1,0.681,curated knowledge card,medium,relevant,yes,no
EVD-00076-2,SMP-00076,DOC-0070,"Education Reference Note 070: What is formative assessment. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",2,0.483,public-domain style explainer,high,relevant,yes,no
EVD-00076-3,SMP-00076,DOC-0017,"Education Reference Note 017: How does active recall improve learning. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",3,0.771,open educational note,medium,partially relevant,yes,no
EVD-00077-1,SMP-00077,DOC-0033,"Healthcare Reference Note 033: What are common warning signs of dehydration. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.803,domain reference summary,high,partially relevant,no,no
EVD-00077-2,SMP-00077,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.643,open educational note,high,partially relevant,no,no
EVD-00077-3,SMP-00077,DOC-0051,"Healthcare Reference Note 051: Why should antibiotics not be used for viral infection. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.554,synthetic policy brief,low,relevant,yes,no
EVD-00078-1,SMP-00078,DOC-0043,"Healthcare Reference Note 043: What is the recommended first-line lifestyle advice fo. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.599,curated knowledge card,medium,relevant,no,no
EVD-00078-2,SMP-00078,DOC-0028,"Healthcare Reference Note 028: What is the recommended first-line lifestyle advice fo. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.739,curated knowledge card,high,relevant,yes,no
EVD-00078-3,SMP-00078,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.425,public-domain style explainer,medium,irrelevant,no,no
EVD-00079-1,SMP-00079,DOC-0035,"Healthcare Reference Note 035: What are common warning signs of dehydration. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",1,0.669,open educational note,high,relevant,yes,no
EVD-00079-2,SMP-00079,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",2,0.623,open educational note,medium,partially relevant,yes,no
EVD-00079-3,SMP-00079,DOC-0043,"Healthcare Reference Note 043: What is the recommended first-line lifestyle advice fo. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",3,0.748,domain reference summary,medium,relevant,yes,no
EVD-00080-1,SMP-00080,DOC-0012,"Environment Reference Note 012: What is renewable energy. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",1,0.741,open educational note,medium,relevant,yes,no
EVD-00080-2,SMP-00080,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",2,0.789,open educational note,medium,partially relevant,yes,no
EVD-00080-3,SMP-00080,DOC-0087,"Environment Reference Note 087: What is climate adaptation. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",3,0.456,synthetic policy brief,medium,relevant,yes,yes
EVD-00081-1,SMP-00081,DOC-0010,"Healthcare Reference Note 010: How does diabetes affect wound healing. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.509,open educational note,high,relevant,yes,yes
EVD-00081-2,SMP-00081,DOC-0027,"Healthcare Reference Note 027: What is the role of vaccination in preventing infectio. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.631,open educational note,low,relevant,no,no
EVD-00081-3,SMP-00081,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.57,curated knowledge card,medium,relevant,yes,no
EVD-00082-1,SMP-00082,DOC-0048,Technology Reference Note 048: What is an API. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,1,0.526,synthetic policy brief,low,relevant,yes,no
EVD-00082-2,SMP-00082,DOC-0026,Technology Reference Note 026: What is data preprocessing. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,2,0.471,open educational note,low,relevant,yes,no
EVD-00082-3,SMP-00082,DOC-0114,Technology Reference Note 114: What is retrieval-augmented generation. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,3,0.612,public-domain style explainer,medium,partially relevant,no,no
EVD-00083-1,SMP-00083,DOC-0104,"Healthcare Reference Note 104: Why should antibiotics not be used for viral infection. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",1,0.757,domain reference summary,high,relevant,yes,no
EVD-00083-2,SMP-00083,DOC-0104,"Healthcare Reference Note 104: Why should antibiotics not be used for viral infection. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",2,0.684,public-domain style explainer,medium,partially relevant,yes,no
EVD-00083-3,SMP-00083,DOC-0033,"Healthcare Reference Note 033: What are common warning signs of dehydration. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",3,0.808,curated knowledge card,high,relevant,yes,no
EVD-00084-1,SMP-00084,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",1,0.546,curated knowledge card,high,relevant,yes,no
EVD-00084-2,SMP-00084,DOC-0062,"Environment Reference Note 062: What is climate adaptation. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",2,0.464,domain reference summary,high,relevant,yes,no
EVD-00084-3,SMP-00084,DOC-0060,"Environment Reference Note 060: What is climate adaptation. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",3,0.443,public-domain style explainer,high,partially relevant,no,no
EVD-00085-1,SMP-00085,DOC-0104,"Healthcare Reference Note 104: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.543,synthetic policy brief,medium,relevant,yes,no
EVD-00085-2,SMP-00085,DOC-0005,"Healthcare Reference Note 005: How does diabetes affect wound healing. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.611,domain reference summary,high,relevant,yes,no
EVD-00085-3,SMP-00085,DOC-0028,"Healthcare Reference Note 028: What is the recommended first-line lifestyle advice fo. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.594,public-domain style explainer,medium,partially relevant,no,no
EVD-00086-1,SMP-00086,DOC-0066,"Legal Reference Note 066: What does confidentiality mean in a business agreement. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",1,0.533,domain reference summary,medium,relevant,yes,no
EVD-00086-2,SMP-00086,DOC-0071,"Legal Reference Note 071: What is intellectual property. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",2,0.518,public-domain style explainer,high,relevant,yes,no
EVD-00086-3,SMP-00086,DOC-0102,"Legal Reference Note 102: Why are terms and conditions important. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",3,0.428,synthetic policy brief,medium,relevant,yes,no
EVD-00087-1,SMP-00087,DOC-0049,Finance Reference Note 049: What is diversification in investment. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,1,0.489,curated knowledge card,medium,relevant,yes,no
EVD-00087-2,SMP-00087,DOC-0044,Finance Reference Note 044: What does credit risk mean. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,2,0.661,synthetic policy brief,high,relevant,yes,yes
EVD-00087-3,SMP-00087,DOC-0064,Finance Reference Note 064: Why is an emergency fund useful. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,3,0.816,open educational note,medium,partially relevant,yes,yes
EVD-00088-1,SMP-00088,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",1,0.825,open educational note,medium,relevant,yes,no
EVD-00088-2,SMP-00088,DOC-0022,"Environment Reference Note 022: What is renewable energy. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",2,0.619,domain reference summary,medium,partially relevant,no,no
EVD-00088-3,SMP-00088,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",3,0.423,synthetic policy brief,high,relevant,yes,no
EVD-00089-1,SMP-00089,DOC-0049,"Finance Reference Note 049: What is diversification in investment. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",1,0.853,public-domain style explainer,high,partially relevant,yes,no
EVD-00089-2,SMP-00089,DOC-0064,"Finance Reference Note 064: Why is an emergency fund useful. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",2,0.776,public-domain style explainer,medium,partially relevant,no,no
EVD-00089-3,SMP-00089,DOC-0004,"Finance Reference Note 004: Why is an emergency fund useful. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",3,0.757,synthetic policy brief,high,relevant,yes,no
EVD-00090-1,SMP-00090,DOC-0035,"Healthcare Reference Note 035: What are common warning signs of dehydration. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",1,0.812,open educational note,high,partially relevant,yes,no
EVD-00090-2,SMP-00090,DOC-0027,"Healthcare Reference Note 027: What is the role of vaccination in preventing infectio. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",2,0.724,synthetic policy brief,medium,relevant,yes,no
EVD-00090-3,SMP-00090,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",3,0.543,open educational note,high,partially relevant,yes,no
EVD-00091-1,SMP-00091,DOC-0009,Technology Reference Note 009: What is a vector database used for. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,1,0.882,curated knowledge card,medium,relevant,yes,no
EVD-00091-2,SMP-00091,DOC-0018,Technology Reference Note 018: Why is model evaluation important. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,2,0.743,public-domain style explainer,high,relevant,yes,no
EVD-00091-3,SMP-00091,DOC-0117,Technology Reference Note 117: What is retrieval-augmented generation. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,3,0.72,curated knowledge card,high,relevant,yes,yes
EVD-00092-1,SMP-00092,DOC-0055,Finance Reference Note 055: What is inflation and why does it matter. Evidence summary: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress. Validation note: answer claims should remain limited to what this chunk supports.,1,0.729,domain reference summary,medium,partially relevant,no,yes
EVD-00092-2,SMP-00092,DOC-0031,Finance Reference Note 031: What is inflation and why does it matter. Evidence summary: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress. Validation note: answer claims should remain limited to what this chunk supports.,2,0.89,synthetic policy brief,medium,partially relevant,yes,no
EVD-00092-3,SMP-00092,DOC-0097,Finance Reference Note 097: What is inflation and why does it matter. Evidence summary: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress. Validation note: answer claims should remain limited to what this chunk supports.,3,0.46,public-domain style explainer,high,partially relevant,yes,no
EVD-00093-1,SMP-00093,DOC-0076,Education Reference Note 076: What is blended learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,1,0.836,public-domain style explainer,medium,relevant,yes,no
EVD-00093-2,SMP-00093,DOC-0115,Education Reference Note 115: How does active recall improve learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,2,0.749,curated knowledge card,low,partially relevant,yes,no
EVD-00093-3,SMP-00093,DOC-0023,Education Reference Note 023: How does active recall improve learning. Evidence summary: Blended learning combines face-to-face instruction with online learning activities or digital resources. Validation note: answer claims should remain limited to what this chunk supports.,3,0.832,public-domain style explainer,high,relevant,yes,no
EVD-00094-1,SMP-00094,DOC-0119,"Healthcare Reference Note 119: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.828,domain reference summary,medium,relevant,yes,no
EVD-00094-2,SMP-00094,DOC-0119,"Healthcare Reference Note 119: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.441,public-domain style explainer,high,relevant,yes,no
EVD-00094-3,SMP-00094,DOC-0051,"Healthcare Reference Note 051: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.61,curated knowledge card,low,relevant,yes,no
EVD-00095-1,SMP-00095,DOC-0005,"Healthcare Reference Note 005: How does diabetes affect wound healing. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.685,open educational note,high,relevant,yes,no
EVD-00095-2,SMP-00095,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.515,public-domain style explainer,low,partially relevant,no,no
EVD-00095-3,SMP-00095,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.745,domain reference summary,low,relevant,yes,no
EVD-00096-1,SMP-00096,DOC-0065,"Education Reference Note 065: How does active recall improve learning. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",1,0.678,public-domain style explainer,medium,relevant,yes,no
EVD-00096-2,SMP-00096,DOC-0038,"Education Reference Note 038: Why is feedback important in education. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",2,0.52,public-domain style explainer,medium,irrelevant,no,no
EVD-00096-3,SMP-00096,DOC-0072,"Education Reference Note 072: What is a learning objective. Evidence summary: Feedback helps learners understand strengths, correct mistakes, and improve future performance. Validation note: answer claims should remain limited to what this chunk supports.",3,0.693,open educational note,high,relevant,yes,no
EVD-00097-1,SMP-00097,DOC-0042,Education Reference Note 042: What is blended learning. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,1,0.624,curated knowledge card,high,relevant,yes,no
EVD-00097-2,SMP-00097,DOC-0072,Education Reference Note 072: What is a learning objective. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,2,0.7,public-domain style explainer,high,partially relevant,no,yes
EVD-00097-3,SMP-00097,DOC-0070,Education Reference Note 070: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,3,0.793,synthetic policy brief,low,partially relevant,no,no
EVD-00098-1,SMP-00098,DOC-0112,Education Reference Note 112: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,1,0.725,public-domain style explainer,high,relevant,yes,no
EVD-00098-2,SMP-00098,DOC-0070,Education Reference Note 070: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,2,0.826,open educational note,high,relevant,yes,no
EVD-00098-3,SMP-00098,DOC-0063,Education Reference Note 063: What is blended learning. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,3,0.83,public-domain style explainer,medium,relevant,yes,no
EVD-00099-1,SMP-00099,DOC-0117,"Technology Reference Note 117: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.751,synthetic policy brief,high,relevant,yes,no
EVD-00099-2,SMP-00099,DOC-0114,"Technology Reference Note 114: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.895,public-domain style explainer,low,relevant,yes,no
EVD-00099-3,SMP-00099,DOC-0091,"Technology Reference Note 091: What is an API. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.769,curated knowledge card,medium,relevant,yes,no
EVD-00100-1,SMP-00100,DOC-0005,"Healthcare Reference Note 005: How does diabetes affect wound healing. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",1,0.838,public-domain style explainer,medium,relevant,yes,no
EVD-00100-2,SMP-00100,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",2,0.865,domain reference summary,medium,relevant,no,no
EVD-00100-3,SMP-00100,DOC-0051,"Healthcare Reference Note 051: Why should antibiotics not be used for viral infection. Evidence summary: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. Validation note: answer claims should remain limited to what this chunk supports.",3,0.615,curated knowledge card,high,irrelevant,yes,no
EVD-00101-1,SMP-00101,DOC-0037,"Finance Reference Note 037: What is diversification in investment. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",1,0.538,public-domain style explainer,medium,partially relevant,yes,no
EVD-00101-2,SMP-00101,DOC-0113,"Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",2,0.754,curated knowledge card,medium,partially relevant,yes,no
EVD-00101-3,SMP-00101,DOC-0019,"Finance Reference Note 019: Why is an emergency fund useful. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",3,0.692,curated knowledge card,medium,partially relevant,no,no
